longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.9302,32.7754,18,2204,449,1186,551,11.2397,213134.3
-124.0309,33.4217,15,7588,1400,2491,1084,9.9233,251614.9
-118.8788,34.6143,38,1857,573,1386,619,6.6279,145734.06
-116.6845,33.5018,25,1240,401,720,248,12.2034,274088.82
-117.0235,37.5859,25,1477,339,620,211,13.3391,205029.71
-123.6517,38.7625,50,1926,626,2118,642,6.0118,133989.51
-119.7978,40.389,11,4040,871,1939,808,14.0815,181098.62
-122.6318,39.4011,11,5976,1349,3374,996,10.4783,138137.66
-122.1451,35.5915,50,4917,1076,3356,1639,5.0741,133472.91
-114.8832,40.7866,21,3880,1027,1613,485,9.8214,100719.29
-122.9156,33.8539,48,8393,1885,3449,1199,13.5184,318852.21
-114.3347,37.3346,6,4791,1563,3560,1597,2.8197,14999
-117.518,38.1522,25,5817,2032,2321,831,14.5806,240896.25
-117.114,38.9549,35,7935,2465,3983,1587,4.7558,27705.93
-122.7621,32.5705,47,14744,3314,5069,1843,3.0905,196595.59
-121.3536,38.5525,39,1828,445,1024,457,14.3257,232902.28
-115.0888,41.183,39,4278,784,2419,713,13.2415,165920.55
-123.7684,40.8021,6,1800,472,473,225,11.5287,155283.29
-116.661,33.7482,31,13923,2896,5552,1989,9.2956,261739.94
-116.7671,39.0317,46,4128,1441,2046,688,6.8525,59393.29
-119.1535,33.6786,15,905,166,512,181,9.0324,249210.87
-123.7589,33.1742,3,9050,1738,4266,1810,10.2002,266087.8
-122.1991,33.7851,37,7380,1633,3332,1230,6.4024,219864.81
-120.7929,36.4085,47,1280,372,475,160,1.3789,61874.03
-117.0387,40.0736,7,2236,474,1494,559,6.6173,32993.91
-115.0804,36.7099,36,750,218,702,250,0.714,14999
-123.4136,39.6311,16,2340,614,905,390,6.3151,120462.23
-114.4575,35.0356,51,9942,2271,5045,1657,11.0923,214017.9
-116.4851,38.7682,32,1468,338,1267,367,8.8981,62252.28
-123.7761,38.0371,33,13524,2796,6648,1932,1.6616,22333.41
-122.4843,38.1393,44,7260,1805,6193,1815,8.7603,163476.19
-123.5269,38.7259,37,5600,1897,2583,1120,10.8848,205457.67
-121.9536,36.2643,43,6855,1766,4652,1371,14.0681,342253.66
-118.6975,33.4808,35,3402,765,1652,486,13.2725,298763.13
-115.5221,36.0172,11,6629,1986,2762,947,14.8149,249583.46
-116.1463,35.3572,43,1048,235,873,262,11.265,208516.3
-122.7893,35.1913,14,7595,1629,4483,1519,4.3278,49028.8
-115.8551,33.4085,28,8740,1638,4370,1748,2.3969,58341.08
-114.5128,34.0605,29,9432,2383,2375,1179,1.591,65710.37
-118.8723,40.3935,38,4724,1195,2436,1181,5.7874,14999
-114.9818,41.6884,3,9450,2038,4487,1890,1.9905,14999
-120.27,38.3804,10,7780,2543,6738,1945,12.2562,141403.46
-115.5006,32.7732,48,9715,3040,5085,1943,10.2137,224556.55
-122.7517,39.139,25,5508,1795,4284,1836,12.3405,197679.3
-119.7286,35.4118,51,7336,1598,5483,1834,6.2778,141673.58
-116.5858,35.8443,33,6944,2408,2434,868,14.1189,271096.7
-123.192,41.6715,12,6195,1155,3586,1239,5.5125,50002.76
-114.4683,33.6282,37,2195,411,1165,439,8.0388,125310.65
-116.2526,39.0033,48,12472,2662,4126,1559,14.2587,256970.9
-117.6896,33.7127,20,5440,1595,2708,1088,10.6095,204002.91
-118.7837,34.3452,43,11850,3497,6624,1975,9.425,199195.4
-124.3459,35.2399,28,11613,3288,4119,1659,6.9059,220169.32
-117.5667,37.3501,51,15160,3166,4031,1895,7.9741,113075.58
-116.133,39.6082,44,2740,868,1521,685,1.1701,14999
-114.4713,38.2921,50,1194,299,585,199,3.3193,14999
-121.9004,38.7135,1,5634,1759,4372,1878,12.1596,171128.02
-117.363,36.9114,36,1680,432,1793,560,10.1799,213074.82
-114.8116,40.9283,40,13752,4560,4538,1719,13.6494,160488.87
-119.873,34.0377,31,4855,1494,3165,971,4.521,126314.4
-121.948,36.6792,46,2540,574,1574,635,8.3322,147020.3
-122.9607,34.7162,45,2896,626,949,362,5.2978,146886.92
-115.9878,36.205,50,9968,1827,4137,1246,8.8475,155063.02
-119.5611,41.4112,20,9558,3107,5464,1593,6.5758,42248.22
-118.2933,34.6153,15,3648,957,1570,608,10.1987,166887.28
-116.3367,39.3545,30,7732,2680,5414,1933,13.6505,157311.6
-123.5072,36.5732,30,1266,283,1051,422,7.0931,138170.19
-120.9615,40.8174,18,9540,2126,3375,1590,0.7811,14999
-120.8364,38.6579,50,4152,1279,4739,1384,3.3907,14999
-124.1454,33.9739,9,8152,1625,3486,1019,7.243,197785.79
-118.2668,41.6087,46,1136,390,614,284,0.8723,14999
-121.2179,38.9138,25,6896,1473,2489,862,12.5433,217484.94
-121.3221,38.9789,52,2079,650,748,297,6.7115,158448.77
-120.6295,37.3011,22,450,143,161,75,14.4314,234034.92
-117.2486,36.6379,47,8944,2020,3591,1118,8.3035,101581.06
-119.4957,36.6388,47,6315,1482,2991,1263,14.052,270986.63
-116.8152,37.9023,43,4130,763,2706,826,3.1367,48524.13
-122.2203,40.0476,22,4354,1302,1501,622,0.6472,14999
-117.1205,37.1375,49,4336,1131,1662,542,6.9985,106302.61
-124.1769,35.3088,26,5864,1360,4210,1466,7.3623,159037.54
-116.8608,35.6527,45,4895,1136,2296,979,10.9586,201669.66
-121.1819,39.5305,49,5852,1243,4546,1463,4.5092,14999
-118.3582,41.7666,13,2624,633,1609,656,10.7663,81138.02
-123.0791,32.9683,4,5915,1765,2590,1183,13.0927,259148.81
-118.5864,36.957,29,2988,1028,1776,747,12.995,238225.29
-123.2046,33.1549,32,1407,403,418,201,2.6634,100013.32
-114.3711,33.6546,49,6314,1776,2640,902,11.7476,225780.65
-120.531,41.089,20,12677,4415,4451,1811,9.5049,75992.18
-114.8362,34.4953,14,4728,916,1394,591,8.5039,113034.42
-122.7784,36.3842,45,7596,1743,2971,1266,10.7509,230374.0
-117.4487,41.234,51,13360,3744,5353,1670,3.3684,14999
-123.1976,34.6555,10,9550,3061,4024,1910,2.9059,77202.81
-118.6352,35.2558,8,8072,1870,2627,1009,4.4476,125842.52
-118.9286,36.6593,39,786,239,380,131,0.875,14999
-115.7104,38.0648,2,12928,4132,4628,1616,11.5651,197555.22
-122.5911,37.4234,29,9630,2030,5543,1926,9.7044,180860.33
-120.8565,35.6764,43,1056,249,802,264,4.6792,113471.95
-114.8603,40.1957,36,750,146,297,125,2.1809,14999
-116.0677,32.5508,35,5976,1130,2766,996,9.5282,154917.73
-119.3451,36.6996,4,2330,636,1580,466,6.8527,104444.32
-114.5796,38.2695,16,6012,1399,3036,1503,6.4159,30447.19
-122.094,40.4576,8,2985,865,2219,995,14.0235,208163.07
-120.1785,37.0803,31,3294,901,1413,549,13.8671,309355.69
-119.2473,40.8145,5,3690,877,1956,615,4.374,46011.58
-115.9417,37.9971,43,4208,1076,2868,1052,5.3204,52263.19
-116.6908,36.0895,21,7320,2538,4315,1830,6.0531,108812.68
-121.1555,36.9907,52,4980,1733,2646,830,9.9543,181209.18
-122.8229,41.619,9,7546,1784,2318,1078,12.7531,237246.63
-124.1959,33.8965,42,1098,285,1264,366,5.4091,218941.65
-117.3952,38.655,22,14360,4682,4613,1795,5.0916,28279.22
-115.5913,32.8778,5,4240,1256,1288,530,3.7986,26371.24
-123.4426,41.7462,49,10776,3538,3590,1347,10.563,170670.18
-116.3567,35.3006,24,3728,825,2440,932,10.3861,181817.0
-122.5422,34.1874,40,10998,3138,4328,1833,13.736,349004.26
-121.8001,34.9426,1,11340,3778,5701,1890,2.7906,98690.69
-119.915,35.7918,38,5296,1819,2009,662,7.1241,112862.2
-115.7825,33.5436,25,6105,1695,4260,1221,4.7808,206319.15
-114.5314,38.7339,18,462,151,209,66,14.6172,244574.39
-115.9883,41.0366,50,6744,1909,4263,1686,9.731,71558.95
-118.1163,38.9178,47,12968,3835,3574,1621,1.9089,14999
-116.4324,32.854,24,6196,1210,3783,1549,11.3385,237310.47
-122.5866,33.7836,35,9220,2491,6214,1844,12.5419,305825.82
-119.5122,40.1291,48,9160,2901,4950,1832,1.5918,31926.96
-116.7783,34.663,44,12264,4250,5290,1533,12.1665,210330.94
-124.2103,37.5891,30,6432,1976,1924,804,6.0249,170971.03
-117.939,36.0356,44,3168,583,1756,528,8.6404,182070.32
-123.7153,40.2925,45,5344,1332,1476,668,14.2208,247477.23
-121.2942,37.1756,7,3710,753,1420,530,10.2221,183538.67
-120.142,39.5248,10,11178,3256,6055,1863,9.427,55394.25
-114.9219,35.1724,45,3232,825,2768,808,12.904,275403.09
-118.8836,41.7415,23,1044,236,600,174,14.2607,214338.22
-116.0751,33.4026,14,10912,3071,2771,1364,11.9085,239360.56
-118.6816,33.1856,49,4740,1325,3815,1185,3.8785,135290.74
-116.5753,39.9611,39,275,89,121,55,2.3849,14999
-117.713,32.7826,1,3132,877,1584,783,4.3478,121999.66
-123.0773,36.5012,8,4731,1234,4994,1577,7.942,193441.67
-114.858,32.9481,51,15288,4107,5134,1911,14.4784,328187.54
-123.7393,37.0472,26,7384,1464,2832,923,6.9317,173169.92
-122.8607,33.7275,40,9422,2574,3348,1346,14.9221,345767.65
-119.0232,36.8095,39,2793,879,2021,931,9.9933,212719.49
-115.6605,36.587,15,4485,1438,2330,897,11.0794,145169.93
-121.212,35.4808,17,3264,968,2212,816,1.8228,75862.31
-116.8743,36.0466,9,3567,997,3379,1189,5.2799,86695.76
-123.1228,35.8674,43,11862,3885,6092,1977,14.5418,302755.54
-118.5477,34.5419,43,4148,1344,2618,1037,8.5658,172595.26
-123.1966,35.1613,15,10218,3307,5895,1703,12.3672,246457.99
-124.0864,41.2827,45,1791,377,1823,597,4.9803,33383.8
-120.9382,32.5975,10,9672,2399,2675,1209,9.681,291918.82
-122.1901,36.4906,22,1860,433,925,372,14.1504,299679.24
-118.3639,40.8522,10,2604,490,789,372,6.9251,14999
-120.1916,34.5685,33,1415,358,686,283,10.3381,251109.22
-119.4642,38.8177,3,3006,1044,1043,501,3.4641,58469.23
-116.6778,35.2637,8,390,119,147,65,6.013,77470.63
-117.2851,37.2475,43,8505,1635,5600,1701,1.1134,56489.43
-115.6944,37.9579,37,7024,2028,2137,878,6.373,76091.18
-114.6494,34.1573,40,7936,2669,2115,992,12.745,247414.92
-119.0894,36.2642,20,7885,1716,4997,1577,1.6075,56866.04
-117.9924,37.533,13,9525,2283,6548,1905,9.8589,158999.01
-121.7801,34.1726,10,12848,2477,5503,1606,9.6053,235942.42
-119.6919,37.8448,38,7752,2613,2758,969,9.7118,126578.31
-118.0527,33.9605,5,6060,1741,3226,1010,9.0756,142759.98
-120.8165,33.2381,30,2925,554,3166,975,1.6126,120012.47
-118.1753,37.3115,30,8666,2965,3848,1238,1.0948,14999
-115.2231,37.9193,13,4956,1292,1576,708,1.3972,14999
-120.9019,39.2617,33,5492,1025,4203,1373,14.8693,297079.81
-119.0884,38.2783,24,4065,999,2570,813,10.344,203496.02
-120.9901,35.6424,36,8634,1971,4440,1439,10.0202,231374.56
-115.2503,40.7576,22,1512,442,729,216,4.9984,14999
-123.0553,39.2101,6,4788,1168,2180,684,12.2912,174398.27
-117.622,40.3405,48,10171,1992,4367,1453,7.8731,108948.31
-114.8003,35.7557,50,4180,913,2305,1045,1.6189,14999
-115.8719,33.4917,50,9240,3051,2375,1155,5.3831,124888.13
-120.5677,34.0667,45,11403,3620,3662,1629,6.8463,163149.45
-120.225,38.9046,16,6713,1533,2994,959,7.0095,67191.07
-116.2314,36.9534,13,6424,2190,2791,803,7.1944,86463.01
-121.521,36.1334,34,3628,1156,2904,907,2.5068,63302.13
-115.5739,37.7582,7,10542,3422,3655,1506,11.5652,201974.23
-121.6112,41.0589,10,10506,2054,5893,1751,12.3422,226706.36
-120.1844,36.2706,24,3192,1114,1363,532,0.9087,14999
-115.0045,40.4366,42,2944,598,1788,736,12.5315,145665.8
-117.2664,36.7613,1,5715,1047,4426,1905,2.668,14999
-114.9101,38.2696,28,1385,305,604,277,3.9574,14999
-123.7194,40.4132,32,8904,1627,3527,1272,4.0081,14999
-122.9085,36.5791,40,3088,855,1760,772,10.1891,196299.03
-114.7778,37.6598,51,7623,1398,3604,1089,1.1312,14999
-120.4657,36.0528,48,415,130,208,83,11.1276,199789.1
-116.9687,35.669,3,5397,1282,2285,771,12.5406,181838.37
-117.4758,41.7695,31,5372,1708,2813,1343,11.7548,105734.07
-123.9102,34.417,3,3480,931,2424,696,8.3739,216575.43
-121.8067,39.6285,13,3175,1036,1315,635,10.0081,144872.41
-119.963,36.3042,29,11292,2683,4291,1882,10.535,259538.69
-120.6618,40.0425,18,5070,1539,3580,1690,9.2356,140909.25
-121.125,33.2934,43,3275,837,2015,655,2.9163,81576.54
-119.8932,36.7475,47,9155,2604,4856,1831,9.7723,195536.05
-117.6113,36.3624,33,13520,3995,5795,1690,2.5703,19397.25
-118.25,39.8921,3,924,203,914,308,5.7512,37455.68
-122.8095,36.7738,24,4866,1507,2320,811,8.1772,170009.7
-120.3537,38.6524,16,846,258,775,282,6.1113,57629.19
-121.7367,36.7394,40,5072,1703,1735,634,2.2782,45534.35
-115.7876,36.7937,46,2883,916,3316,961,14.8053,236216.4
-118.828,35.2723,20,7172,2158,6080,1793,9.7467,151447.44
-116.3813,37.3274,8,1844,406,1263,461,5.733,25537.81
-114.4806,33.7611,6,920,227,565,184,7.4406,112467.75
-120.2256,36.3928,37,804,277,595,201,7.0246,129181.78
-115.5353,39.8823,41,5012,1556,2748,1253,7.7915,43420.86
-115.6332,40.3634,34,1815,377,901,363,10.7853,77834.88
-115.3649,40.5002,17,3616,1238,1090,452,9.5628,139929.1
-118.1811,33.4192,42,2765,940,881,395,10.0516,224689.17
-115.891,37.8436,2,648,221,681,216,4.3375,14999
-122.2335,37.9238,40,4074,1078,3993,1358,4.7002,122201.81
-116.2709,38.9858,20,2934,871,2187,978,6.5265,42640.57
-119.687,35.7412,10,5520,1293,2402,690,5.5079,61734.2
-119.1796,33.5392,16,3015,679,2383,1005,1.9038,92574.71
-121.4363,36.1548,40,3624,1245,3038,906,12.2954,304926.32
-122.4441,34.0394,33,6036,1988,2762,1006,1.8057,68190.46
-120.4018,36.8425,16,3430,823,1017,490,7.676,170406.28
-119.6253,37.5903,7,3728,1230,2881,932,11.5759,164707.0
-120.676,36.3095,37,4800,1159,2919,1200,6.1021,91232.3
-116.0639,38.4047,40,1172,405,759,293,12.026,190593.5
-120.9456,41.3755,49,1380,389,897,345,1.0837,14999
-116.2782,37.4269,10,9037,1841,4385,1291,5.1187,53680.26
-120.4047,38.3413,20,6325,1683,3497,1265,7.6028,84749.87
-124.183,35.657,8,6321,1468,3023,903,13.1454,278402.41
-118.0322,38.1569,17,9744,2710,4290,1392,8.9611,145860.15
-118.1279,40.4554,10,13856,3064,4951,1732,10.6576,159431.95
-122.4345,36.6902,27,2160,642,941,360,11.7371,296849.66
-116.9622,33.1261,9,4448,1224,3888,1112,7.4364,128858.23
-120.5667,41.5424,30,13426,3198,4855,1918,11.6939,148449.79
-117.3891,38.2808,13,2770,761,1294,554,14.6072,187185.02
-121.3619,35.2595,14,11704,3079,3978,1463,8.6271,231516.62
